,name,location,voice_call,video_call,lat,lng
22,용산구수어통역센터,"서울 용산구 서빙고로 245  (서빙고동),  장애인커뮤니티센터 4층",02-706-8367,070-7947-0339,37.5204993,126.991118
23,은평구수어통역센터,"서울특별시 은평구 증산서길 82, 2층",02-358-7051,070-7947-0229,37.5835694,126.9068351
24,종로구수어통역센터,"서울특별시 종로구 종로17길 8, 3층",02-730-5563,070-7947-5451,37.5706868,126.9889585
25,서울중구수어통역센터,서울특별시 중구 퇴계로20길41-11 남산쉼터 2층,02-3789-3268,070-7947-0031,37.5587834,126.9867764
26,중랑구수어통역센터,"서울특별시 중랑구 면목로 299, 6~7층",02-2208-1083,070-7947-0297,37.5792506,127.0867171
27,경기수어통역센터지역지원본부,"경기도 수원시 장안구 정조로 946, 6층 (영화동 근영빌딩)",031-252-6420,070-7947-0221,37.2918896,127.0123143
28,가평군수어통역센터,"경기도 가평군 가평읍 오리나무길 41-8, 2층(대곡리)",070-7760-7653,070-7947-7653,37.8237686,127.5142729
29,고양시수어통역센터,"경기도 고양시 일산서구 일현로 97-11, 3층(탄현동 일산위브더제니스)",031-963-0797,070-7947-0194,37.6942766,126.7626606
30,과천시수어통역센터,"경기도 과천시 문원로 40, 211호(문원동 과천시장애인종합복지관)",02-504-1142,070-7947-0196,37.4288374,127.001976
31,광명시수어통역센터,"경기도 광명시 소하로 82, 4층 401호(소하동 한빛프라자)",02-892-1388,070-7947-0435,37.4476447,126.8833764
32,광주시수어통역센터,"경기도 광주시 행정타운로 6-5, 302호(송정동 태종빌딩)",031-768-3293,070-7947-0044,37.4272083,127.2566801
33,구리시수어통역센터,"경기도 구리시 경춘로20번길 22, 3층(교문동 구리시장애인복지센터)",031-565-4579,070-7947-0079,37.5998568,127.1162265
34,군포시수어통역센터,"경기도 군포시 산본로 329, 8층(산본동 경원빌딩)",031-392-3996,070-7947-0387,37.3600165,126.9330805
35,김포시수어통역센터,"경기도 김포시 감암로 125, 4층(걸포동 김포시차량등록사업소)",031-983-9643,070-7947-0213,37.6433798,126.7081085
36,남양주수어통역센터,"경기도 남양주시 금곡로 58, 3층(금곡동 은하빌딩)",031-575-5445,070-7947-0069,37.634083,127.2096103
37,동두천시수어통역센터,"경기도 동두천시 동광로 174, 2층(보산동)",031-865-6678,070-7947-0371,37.9155655,127.0605681
38,부천시수어통역센터,경기도 부천시 상이로 39번길 7-20(상동),032-328-5017,070-7947-0077,37.4920084,126.7430952
39,성남시수어통역센터,"경기도 성남시 수정구 수정남로 10, 306호(수진동 제일프라자)",031-747-8572,070-7947-0374,37.4390433,127.1292407
40,수원시수어통역센터,"경기도 수원시 권선구 호매실로 211, 2층(호매실동 수원시장애인복지센터)",031-254-0037,070-7947-5836,37.2631726,126.9566917
41,시흥시수어통역센터,"경기도 시흥시 정왕대로 233번길 33, 2층(정왕동 시흥시어울림국민체육센터)",031-315-3251,070-7947-0219,37.3483173,126.741172
42,안산시수어통역센터,"경기도 안산시 상록구 차돌배기로 24-3, 3층(사동 안산시장애인지원센터)",031-482-9097,070-7947-0295,37.2984264,126.8464139
43,안성시수어통역센터,"경기도 안성시 중앙로 451번길 11, 2층(봉남동 안성시한마음복지관)",031-677-5403,070-7947-0356,37.00683,127.2766138
44,안양시수어통역센터,"경기도 안양시 만안구 안양로 384번길 44, 2층(안양동)",031-466-1123,070-7947-0197,37.40539,126.9177763
45,양주시수어통역센터,"경기도 양주시 회정로 132, 6층(덕정동 파르코프라자)",031-826-0414,070-7947-0312,37.8372012,127.0679135
46,양평군수어통역센터,"경기도 양평군 양평읍 중앙로 111번길 34-23, 3층(공흥리 양평군행복플러스센터)",031-774-6289,070-7947-0345,37.4958671,127.5055702
47,여주시수어통역센터,"경기도 여주시 향교로 30-7, 2층(교동 여주시장애인재활작업장)",031-886-0554,070-7947-0317,37.2881687,127.6298296
48,연천군수어통역센터,"경기도 연천군 전곡읍 은전로 86번길 44, 1층(전곡리)",031-834-5030,070-7947-0320,38.0266482,127.0697213
49,오산시수어통역센터,"경기도 오산시 경기동로 15, 36호(오산동 오산시종합운동장",031-377-7133,070-7947-0373,37.1571182,127.0731197
50,용인시수어통역센터,"경기도 용인시 처인구 백옥대로 1048, 3층(김량장동 보라빌딩)",031-337-0991,070-7947-0296,37.2293219,127.2110149
51,의왕시수어통역센터,"경기도 의왕시 경수대로 236, 402호(고천동 한국빌딩)",031-459-8595,070-7947-1923,37.3479394,126.9745265
52,의정부수어통역센터,"경기도  의정부시 경의로 85번길 6-19, 2층(의정부동 의정부시장애인복지회관)",031-877-2757,070-7947-0193,37.7335274,127.0460709
53,이천시수어통역센터,"경기도 이천시 부악로 40, 203호(중리동 부악관)",031-631-5626,070-7947-0040,37.2721587,127.434433
54,파주시수어통역센터,"경기도 파주시 시청로 25, 302호(금촌동 광우프라자)",031-945-3351,070-7947-3351,37.7591643,126.7762656
55,평택시수어통역센터,"경기도 평택시 조개터로2번길 41, 2층(합정동 평택시장애인회관)",031-657-2283,070-7947-0372,36.9868222,127.1032503
56,포천시수어통역센터,"경기도 포천시 신북면 중앙로 307, 1층(가채리)",031-534-8876,070-7947-0305,37.9117436,127.2126309
57,하남시수어통역센터,"경기도 하남시 검단로19번길 27, 2층(하산곡동 하남시장애인복지회관",031-791-5538,070-7947-0105,37.5236805,127.2236736
58,화성시수어통역센터,"경기도 화성시 향남읍 도이1길 104, 203호(도이리 화성시아르딤복지관)",031-352-4220,070-7947-2013,37.136661,126.9206143
59,강원수어통역센터지역지원본부,"강원도 춘천시 동면 소양강로 110, 4층(강원도사회복지회관)",033-243-8744,070-7947-0333,37.8969742,127.7499656
60,강릉시수어통역센터,강원도 강릉시 용지각길20.201호,033-642-0432,070-7947-0066,37.7602272,128.9044392
61,고성군수어통역센터,"강원도 고성군 간성읍 쇠롱골길 17, 나동 101호",033-681-5830,070-7947-0049,38.381045,128.4656588
62,동해시수어통역센터,강원도 동해시 한섬로 28-22 2층,033-535-8205,070-7947-0307,37.5193762,129.1080547
63,삼척시수어통역센터,"강원도 삼척시 중앙로 28 202호(사직동,장애인종합복지센터",033-573-5431,070-7947-0308,37.4314037,129.1764941
64,속초시수어통역센터,강원도 속초시 밤골5길 7,033-636-0453,070-7947-0288,38.2007332,128.5687715
65,양양군수어통역센터,강원도 양양군 양양읍 양양로 9-5 장애인회관 1층,033-673-9874,070-7947-0289,38.0778212,128.6273966
66,영월군수어통역센터,강원도 영월군 영월읍 하송로 46-41 영월군장애인문화복지센터 B1층,033-374-0822,070-7947-0822,37.1858333,128.4612947
67,원주시수어통역센터,"강원도 원주시 중앙로 168, 3층",033-743-3913,070-7947-0314,37.3525981,127.9485057
68,인제군수어통역센터,강원도 인제군 인제읍 인제로 166-11,033-463-4468,070-7947-5558,38.0664983,128.1695589
69,정선군수어통역센터,"강원도 정선군 정선읍 녹송4길 71, 1층",033-563-0609,070-7947-0457,37.3841846,128.673663
70,철원군수어통역센터,강원도 철원군 동송읍 금학로 169-5 2층,033-455-1422,070-7947-0198,38.2039358,127.2201811
71,춘천시수어통역센터,강원도 춘천시 삭주로 3 (교동) 별관동 2층,033-244-1474,070-7947-0334,37.8822595,127.7330996
72,태백시수어통역센터,"강원도 태백시 황지로 26, 2층(황지동)",033-553-4817,070-7947-0306,37.1611331,128.990858
73,평창군수어통역센터,"강원도 평창군 진부면 진벌1길 144-19, 평창군장애인복지센터 2층",033-334-9894,070-7947-0309,37.6529272,128.5711972
74,홍천군수어통역센터,강원도 홍천군 홍천읍 희망로55,033-432-1961,070-7947-0353,37.6946158,127.8886814
75,화천군수어통역센터,강원도 화천군 화천읍 강변로 157 2층,033-441-2587,070-7947-0043,38.1114872,127.7078299
76,횡성군수어통역센터,강원도 횡성군 횡성읍 한우로 223 횡성군장애인회관 1층,033-344-0442,070-7947-0259,37.494098,127.9824376
77,양구군수어통역센터,"강원 양구군 양구읍 비봉로73번길 12 , 2층",033-482-9765,,38.1087322,127.9865106
78,충북수어통역센터지역지원본부,"충청북도 청주시 흥덕구 공단로 87(복대동), 408호",043-233-5618,070-7947-0286,36.639363,127.4391488
79,괴산군수어통역센터,충북 괴산군 괴산읍 읍내로 2길 27-10,043-833-2454,070-7947-0472,36.8069064,127.7909307
80,단양군수어통역센터,충북 단양군 단양읍 벽고 5길5,043-421-8385,070-7947-0238,36.9865835,128.3681098
81,보은군수어통역센터,충북 보은군 보은읍 뱃들로 68-38,043-544-6908,070-7947-0224,36.4886502,127.7234941
82,영동군수어통역센터,충북 영동군 영동읍 반곡동길 8 장애인연합회관 2층,043-743-3636,070-7947-7636,36.1692358,127.7756635
83,옥천군수어통역센터,"충북 옥천군 옥천읍 삼양로 8길 9, 장애인회관 2층",043-731-0911,070-7947-0240,36.3046109,127.5696161
84,제천시수어통역센터,충북 제천시 동명로 2길 5,043-644-7330,070-7947-0243,37.1327054,128.2031315
85,진천군수어통역센터,"충북 진천군 진천읍 중앙북1길 11-10, 2층",043-535-4710,070-7947-4996,36.8610741,127.439417
86,청주시수어통역센터,"충북 청주시 흥덕구 무심서로 851, 청주시장애인종합복지관 1층",043-266-5616,070-7947-0269,36.6627083,127.4655353
87,충주시수어통역센터,충북 충주시 호암대로 129 충주시장애인복지관 내 1층,043-852-8553,070-7947-0241,36.9580943,127.9396543
88,세종수어통역센터지역지원본부,"세종특별자치시 조치원읍 새내로 63, 3층",044-864-9946,070-7947-0369,36.5976495,127.2985245
89,충남수어통역센터지역지원본부,충청남도 천안시 서북구 성정공원1길(성정동) 리전프라자 201호,041-522-2214,070-7947-0365,36.827271,127.139328
90,공주시수어통역센터,충남 공주시 의당면 의당로257 공주시장애인복지센터 202호,041-881-1457,070-7947-0294,36.4940329,127.1357636
91,금산군수어통역센터,충남 금산군 금산읍 금산로 1559 금산다락원 장애인집1층,041-754-0898,070-7947-0084,36.1117121,127.4915857
92,논산시수어통역센터,충남 논산시 부직면 계백로 1546번길 38 논산시시립꽃복지관 별관 1층,041-736-4759,070-7949-0368,36.2088503,127.1486407
93,당진시수어통역센터,충남 당진시 서부로139 당진2동 행정복지센터 2 층,041-355-4812,070-7947-0227,36.8897238,126.6259906
94,보령시수어통역센터,충남 보령군 신 천변북길 121 보령종합사회복지관 내,041-936-8005,070-7947-0063,36.3334575,126.6128138
95,부여군수어통역센터,충남 부여군 규암면 흥수로 816,041-836-8270,070-7947-0068,36.2731739,126.8712421
96,서산시수어통역센터,충남 서산시 시장6로 35-1,041-665-3023,070-7947-0384,36.7827003,126.457792
97,서천군수어통역센터,"충남 서천군 서천읍 서천로 52, 2층",041-953-0980,070-7947-0380,36.076436,126.6939106
98,아산시수어통역센터,"충남 아산시 탕정면 선문로 217-2, 3층",041-544-8961,070-7947-0383,36.7972756,127.0855528
99,예산군수어통역센터,충남 예산군 신암면 추사고택로 496,041-335-0664,070-7947-5666,36.7619779,126.8095536
100,천안시수어통역센터,충남 천안시 서북구 서부대로 319-4 1동 5층,041-558-1562,070-7947-0234,36.7957112,127.1255738
101,청양군수어통역센터,충남 청양군 청양읍 칠갑산로 258,041-942-4562,070-7947-0338,36.4504988,126.8049608
102,태안군수어통역센터,"충남 태안군 태안읍 군청5길 26-8, 3층",041-674-9124,070-7947-6112,36.7483593,126.301638
103,홍성군수어통역센터,충남 홍성군 조양로33번길17 장애인복지관 별관2층,041-632-6706,070-7947-0301,36.5975247,126.6560007
104,대전수어통역센터지역지원본부,"대전광역시 동구 중앙로200번길 66, 205호(중앙스퀘어)",042-673-1518,070-7947-0206,36.327868,127.4325569
105,대덕구수어통역센터,대전광역시 대덕구 비래동로 7번길 54,042-345-0032,070-7947-6563,36.3561089,127.4470261
106,대전서구수어통역센터,"대전광역시 서구 청사로228, 청사오피스텔 404호",042-488-1041,070-7947-6926,36.3594497,127.3890948
107,유성구수어통역센터,대전광역시 유성구 문화원로6번길 19,042-822-6642,070-7947-0452,36.3609364,127.3366233
108,대전중구수어통역센터,"대전광역시 중구 중앙로 39, 13번길 동양빌딩 401호",042-581-0143,070-7907-6286,36.3257326,127.4213789
109,경북수어통역센터지역지원본부,"경상북도 구미시 형곡로 14길 7(형곡동), 3층",054-451-4494,070-7947-0225,36.1139904,128.331538
110,경산시수어통역센터,"경북 경산시 경안로30길 18, 3층",053-811-9422,070-7947-0251,35.8198278,128.7402076
111,경주시수어통역센터,"경북 경주시 유림로5번길 99-17, 2층",054-741-2840,070-7947-0254,35.8807318,129.2185601
112,고령군수어통역센터,"경북 고령군 대가야읍 연조길 39, 2층",054-956-5592,070-7947-0204,35.729583,128.2637668
113,구미시수어통역센터,"경북 구미시 구미대로 144, 2층 ",054-451-9226,070-7947-0236,36.0996226,128.3630737
114,군위군수어통역센터,경북 군위군 군위읍 중앙길 31-10,054-383-0075,070-7947-0479,36.2313484,128.5663901
115,김천시수어통역센터,"경북 김천시 중앙공원4길 33, 2층",054-434-6181,070-7947-0321,36.1190844,128.1203514
116,문경시수어통역센터,"경북 문경시 신흥로 127, 2층",054-554-2257,070-7947-0255,36.5927773,128.2002992
117,봉화군수어통역센터,"경북 봉화군 봉화읍 내성천2길 93, 2층",054-674-3611,070-7947-6307,36.8936506,128.7372736
118,상주시수어통역센터,"경북 상주시 상서문2길 64, 2층",054-535-6311,070-7947-0256,36.4125976,128.1550674
119,성주군수어통역센터,경북 성주군 성주읍 성주읍1길 19-10,054-931-9933,070-7947-8561,35.9197857,128.2899045
120,안동시수어통역센터,"경북 안동시 영호6길 31, 3층",054-853-9740,070-7947-9002,36.5617699,128.7245227
121,영덕군수어통역센터,"경북 영덕군 영덕읍 중앙길 114, 2층",054-734-4408,070-7947-6309,36.4115168,129.367714
122,영양군수어통역센터,"경북 영양군 영양읍 군민회관길 26, 2층(203호)",054-682-0040,070-7947-6400,36.6621361,129.1163701
123,영주시수어통역센터,"경북 영주시 광복로 46번길 15, 2층",054-634-3611,070-7947-0262,36.8270926,128.6235939
124,영천시수어통역센터,"경북 영천시 완산6길 19-6, 2층",054-331-0350,070-7647-0217,35.9669919,128.9399125
125,예천시수어통역센터,경북 예천군 예천읍 맛고을길 69,054-652-0047,070-7947-0067,36.6572852,128.4558961
126,울릉군수어통역센터,"경북 울릉군 울릉읍 울릉순환로 397-6, 4층",054-791-7308,070-7947-1800,37.4850354,130.8996445
127,울진군수어통역센터,"경북 울진군 울진읍 울진중앙로 41-14, 2층",054-781-0085,070-7947-0469,36.9862254,129.3969063
128,의성군수어통역센터,"경북 의성군 의성읍 잔보들길 130, 1층",054-833-7377,070-7947-0252,36.3594992,128.6801572
129,청도군수어통역센터,경북 청도군 청도읍 월곡 2길 15,054-372-7915,070-7947-0316,35.6282201,128.7595127
130,청송군수어통역센터,경북 청송군 진보면 진보로 181,054-874-0056,070-7947-0257,36.5293898,129.0513243
131,칠곡군수어통역센터,"경북 칠곡군 왜관읍 석전로7길 58-1 어울림센터, 2층",054-972-0420,070-7947-7339,36.0071381,128.4085846
132,포항시수어통역센터,"경북 포항시 북구 죽도로 32, 3층",054-274-9980,070-7947-0218,36.0335756,129.3641673
133,울진군수어통역센터,"경북 울진군 울진읍 울진중앙로 41-14 , 2층",054-781-0085,,36.9862254,129.3969063
134,전북수어통역센터지역지원본부,"전라북도 전주시 완산구 홍산로 237, 갤럭시빌딩 601호",063-228-1804,070-7947-0335,35.8148851,127.1055053
135,고창군수어통역센터,전북 고창군 고창읍 월곡14길 19,063-561-2053,070-7947-2067,35.4375565,126.7130224
136,군산시수어통역센터,전북 군산시 구영1길 138-2,063-462-0221,070-7947-0381,35.9903403,126.7096703
137,김제시수어통역센터,전북 김제시 갈공길32,063-543-9590,070-7947-0357,35.8051082,126.8712088
138,남원시수어통역센터,"전북 남원시 광한북로 94-13, 2층",063-632-7008,070-7947-0270,35.4113296,127.3817884
139,무주군수어통역센터,전북 무주군 무주읍 당산강변로 164,063-324-2777,070-7947-5711,36.0038618,127.6592078
140,부안군수어통역센터,전북 부안군 부안읍 소금샘길 23,063-581-2631,070-7947-0268,35.7281946,126.7252858
141,순창군수어통역센터,전북 순창군 순창읍 장류로 407-11 장애인실내체육관 내,063-652-5784,070-7947-6557,35.377462,127.1473599
142,완주군수어통역센터,전북 완주군 봉동읍 봉동중앙로 181,063-263-9363,070-7947-6397,35.9348031,127.1566204
143,익산시수어통역센터,전북 익산시 중앙로 22-190,063-855-6520,070-7947-0382,35.9377579,126.9485994
144,임실군수어통역센터,전북 임실군 임실읍 호국로 1644,063-642-2255,070-7947-2240,35.6102481,127.2832964
145,장수군수어통역센터,전북 장수군 장수읍 신천로 79 사회복지회관 104호,063-351-5536,070-7947-5531,35.6539323,127.5179377
146,전주시수어통역센터,"전북 전주시 완산구 화산천변1길 18-1, 그랑프리타워 2층",063-273-4498,070-7947-0272,35.8194822,127.1140855
147,정읍시수어통역센터,전북 정읍시 벚꽃로 492,063-537-6560,070-7947-0265,35.5577923,126.8647049
148,진안군수어통역센터,전북 진안군 진안읍 관산2길 11,063-433-8803,070-7947-0379,35.7905653,127.4252281
149,대구수어통역센터지역지원본부,"대구광역시 남구 대명로 297(대명동), 명덕빌딩 4층",053-623-9929,070-7947-0104,35.8445883,128.5883137
150,달서구수어통역센터,"대구광역시 달서구 갈밭남로71, 장애인복지센터 4층",053-633-6902,070-7942-2429,35.8024619,128.5359347
151,동구수어통역센터,대구광역시 동구 화랑로 41길 41-3,053-939-2365,070-7947-8311,35.881153,128.6448566
152,북구수어통역센터,대구광역시 북구 칠곡중앙대로 461 이조빌딩 4층 401호,053-324-0852,070-7947-0789,35.9369979,128.5487999
153,수성구수어통역센터,대구광역시 수성구 달구벌대로 2398 범어역지하3층,053-753-0654,070-7947-0654,35.8587625,128.6247346
154,울산수어통역센터지역지원본부,"울산광역시 중구 학성4길 65(학성동), 인성빌딩 4층",052-265-0144,070-7947-0033,35.5580608,129.3311021
155,경남수어통역센터지역지원본부,경상남도 창원시 의창구 동읍 동읍로 457번길 48 경남사회복지센터 1층,055-252-8885,070-7947-0331,35.309597,128.6511534
156,거제시수어통역센터,"경남 거제시 거제중앙로 1849 ,404호(고현동, 거제시공공청사)",055-633-5982,070-7947-0222,34.8834293,128.6252386
157,거창군수어통역센터,경남 거창군 거창읍 송정1길 24-15 장애인복합문화관,055-944-1971,070-7947-1968,35.6817323,127.8979198
158,고성군수어통역센터,경남 고성군 고성읍 송학고분로 193,055-674-3565,070-7947-4021,34.9785649,128.3103373
159,김해시수어통역센터,경남 김해시 인제로258(삼방동) 김해시복지관 內 ,055-322-0807,070-7947-0203,35.251394,128.9036466
160,남해군수어통역센터,경남 남해군 남해읍 에코파크길7,055-864-8111,070-7947-8111,34.8327932,127.9028272
161,밀양시수어통역센터,경남 밀양시 가곡14길 22 밀양시장애인복지관 3층,055-356-7154,070-7947-0325,35.4800919,128.7637369
162,사천시수어통역센터,경남 사천시 노대길 178 2층,055-835-2826,070-7947-0361,34.9837649,128.0501878
163,산청군수어통역센터,경남 산청군 금서면 친환경로 2631번길 12,055-973-6369,070-7947-2655,35.4200924,127.8731659
164,양산시수어통역센터,경남 양산시 북안남5길 15,055-388-8722,070-7947-0081,35.3457875,129.0402979
165,의령군수어통역센터,경남 의령군 의령읍 의병로8길 44 (2층),055-574-2331,070-7947-2330,35.315549,128.256499
166,진주시수어통역센터,경남 진주시 신안로 100번길 11-5 (2층),055-742-4873,070-7947-0202,35.187509,128.0714719
167,창녕군수어통역센터,경남 창녕군 창녕읍 창녕대로 75 2층,055-533-0701,070-7947-6153,35.5380003,128.4950654
168,창원시마산수어통역센터,경남 창원시회원구 회원동서로 10(중앙케스빌 상가 2층),055-253-2671,070-7947-0330,35.2279599,128.6817216
169,창원시 진해수어통역센터,경남 창원시 진해구 경화로 25 3층,055-544-0079,070-7947-0207,35.1556509,128.6860899
170,창원시 창원수어통역센터,경남 창원시 성산구 용지로 90 공성상가 4층 34호,055-275-7418,070-7947-0332,35.2236113,128.6775768
171,통영시수어통역센터,경남 통영시 용남면 기호바깥길 7-89(3층),055-649-4787,070-7947-0249,34.872989,128.4200016
172,하동군수어통역센터,경남 하동군 하동읍 섬진강대로 2214 종합사회복지관 3층,055-882-5042,070-7947-8966,35.0719056,127.74135
173,하안군수어통역센터,"경남 함안군 가야읍 중앙남길70, 1층",055-583-1132,070-7947-0481,35.2750385,128.4105029
174,합천군수어통역센터,"경남 합천군 합천읍 남정길79, 종합사회복지관 별관 2층 농아인협회",055-931-2589,070-7947-2589,35.5684165,128.1569103
175,부산수어통역센터지역지원본부,"부산광역시 연제구 월드컵대로 21(연산동), 물만골빌딩 5층",051-635-3746,070-7947-0360,35.1765098,129.0854531
176,동부산수어통역센터,부산광역시 금정구 금정로161번길 9,051-513-6350,070-7947-0370,35.2388777,129.0872832
177,북부산수어통역센터,부산광역시 북구 백양대로1061 부영빌딩 3층(구포동),051-337-3940,070-7947-0214,35.2000298,128.9970576
178,부산서구수어통역센터,부산광역시 서구 대청로 6번길 41-1 (토성동 3가),051-244-9770,070-7947-0261,35.101384,129.0205555
179,수영구수어통역센터,부산광역시 수영구 수영로 569(광안동4층),051-759-9344,070-7947-0326,35.1566577,129.1126831
180,광주수어통역센터지역지원본부,"광주광역시 서구 매월2로 15번길 16, 204동 212호",062-415-2636,070-7947-0076,35.1176576,126.8604556
181,전남수어통역센터지역지원본부,전라남도 목포시 용당로 281 종원빌딩 5층,061-278-2165,070-7947-0037,34.8122132,126.3991555
182,강진군수어통역센터,"전남 강진군.읍 보은로99, 신세기프라자2-2",061-433-6730,070-7947-1452,34.642081,126.7671566
183,고흥군수어통역센터,전남 고흥군 고흥읍 봉황길 9  5층,061-833-2006,070-7947-6939,34.6100194,127.2846187
184,광양시수어통역센터,전남 광양시 구마10길 25,061-793-3114,070-7947-0271,34.9495506,127.6876272
185,나주시수어통역센터,"전남 나주시 내동길 9-3, 유림회관1층",061-333-9003,070-7947-0082,35.014095,126.7132935
186,담양군수어통역센터,"전남 담양군 담양읍 중앙로 80, 2층",061-381-9620,070-7947-9020,35.3202306,126.9826309
187,목포시수어통역센터,"전남 목포시 산정로 21번길 9, 2층",061-242-2165,070-7947-0304,34.7904036,126.3919071
188,무안군수어통역센터,"전남 무안군 무안읍 불무로 38-6, 2층",061-452-6378,070-7947-1403,34.9878247,126.4733625
189,보성군수어통역센터,전남 보성군 보성읍 인사길 5-9,061-853-1073,070-7947-0303,34.7705823,127.0804665
190,순천시수어통역센터,전남 순천시 청사1길 8 2층,061-742-4416,070-7479-0080,34.9491493,127.4850501
191,신안군수어통역센터,"전남 신안군 압해읍 압해로 876-20,  3층",061-271-2119,070-7947-2119,34.8660389,126.3128893
192,여수시수어통역센터,전남 여수시 중앙로 39 동아빌딩 4층,061-666-8900,070-7947-0219,34.7404676,127.7320451
193,영광군수어통역센터,전남 영광군 영광읍 옥당로 50,061-352-6313,070-7947-0375,35.269522,126.5090228
194,영암군수어통역센터,전남 영암군 영암읍 동문로 15. 2층,061-473-9068,070-7949-2835,34.7971712,126.7020413
195,완도군수어통역센터,전남 완도군 완도읍 장보고대로 274 (2층),061-553-2255,070-7947-2254,34.3149656,126.7546193
196,장흥군수어통역센터,전남 장흥군 장흥읍 읍성로 164,061-864-4795,070-7947-4795,34.6791154,126.9023431
197,진도군수어통역센터,전남 진도군 진도읍 남산로 50-3 2층,061-543-4834,070-7947-0061,34.4718804,126.2591286
198,함평군수어통역센터,전남 함평군 함평읍 영수길186 2층,061-323-8006,070-7947-8006,35.0642387,126.5204394
199,해남군수어통역센터,전남 해남군 해남읍 읍사무소길1 평화빌딩2층,061-533-4001,070-7947-0377,34.5689849,126.5978335
200,화순군수어통역센터,"전남 화순군 화순읍 만연로 66-3, 3층",061-372-7800,070-7947-8223,35.0616722,126.9906946
201,제주수어통역센터지역지원본부,제주특별자치도 제주시 남성로 25길 8. 삼도쉐르빌 201호,064-743-3920,070-7947-0065,33.5099831,126.522952
